时间,价格,数量,买卖方向
9:15:00,9.3,20,2S
9:15:00,9.02,7,2B
9:15:00,9.51,2,2S
9:15:00,9.81,2,2S
9:15:00,10.12,2,2S
9:15:00,9.29,5,2S
9:15:00,9.39,5,2S
9:15:00,9.33,36,2S
9:15:00,10.12,85,2S
9:15:00,8.98,15,2B
9:15:00,8.58,8,2B
9:15:00,9.07,50,2B
9:15:00,9.06,50,2B
9:15:00,9.07,40,2B
9:15:00,9.06,41,2B
9:15:00,9.06,50,2B
9:15:00,9.07,50,2B
9:15:00,9.07,40,2B
9:15:00,9.33,10,2S
9:15:00,9.28,3,2S
9:15:00,9.38,34,2S
9:15:00,9.3,4,2S
9:15:00,10.12,60,2S
9:15:00,8.45,2,2B
9:15:00,10.1,1,2S
9:15:00,9.29,10,2S
9:15:00,9.38,10,2S
9:15:00,9.48,10,2S
9:15:00,9.58,10,2S
9:15:00,9.78,10,2S
9:15:00,9.88,10,2S
9:15:00,9.98,10,2S
9:15:00,9.3,193,2S
9:15:00,9,1,2B
9:15:00,9.66,20,2S
9:15:00,9.59,3,2S
9:15:00,10,7,2S
9:15:00,9.27,1,2S
9:15:00,9.14,9,2B
9:15:00,9.52,4,2S
9:15:00,9.3,4,2S
9:15:00,9.25,20,2S
9:15:00,9,10,2B
9:15:00,9.3,1,2S
9:15:00,9.2,20,2B
9:15:00,10.1,10,2S
9:15:00,9.7,8,2S
9:15:00,9.12,10,2B
9:15:00,9.44,7,2S
9:15:00,9.11,10,2B
9:15:00,10.12,38,2S
9:15:00,9.55,9,2S
9:15:00,9.1,10,2B
9:15:00,9.67,13,2S
9:15:00,9.09,10,2B
9:15:00,9.78,20,2S
9:15:00,9.08,10,2B
9:15:00,9.89,28,2S
9:15:00,9.07,10,2B
9:15:00,10.01,31,2S
9:15:00,9.06,10,2B
9:15:00,9.4,6,2S
9:15:00,9.99,6,2S
9:15:00,9.47,22,2S
9:15:00,9.69,30,2S
9:15:00,9.97,50,2S
9:15:00,9.29,50,2S
9:15:00,9.3,10,2S
9:15:00,9.09,50,2B
9:15:00,9.23,50,2S
9:15:00,9.29,13,2S
9:15:00,9.34,100,2S
9:15:00,9,10,2B
9:15:00,9.3,2,2S
9:15:00,9.3,6,2S
9:15:00,10.12,5,2S
9:15:00,9.3,4,2S
9:15:00,9.39,16,2S
9:15:00,9.52,20,2S
9:15:00,9.72,50,2S
9:15:00,9.92,50,2S
9:15:00,9.23,30,2S
9:15:00,9.6,110,2S
9:15:00,9.79,110,2S
9:15:00,9.49,10000,2S
9:15:00,9.69,10000,2S
9:15:00,9.25,11,2S
9:15:00,9.31,27,2S
9:15:00,9.34,27,2S
9:15:00,9.37,27,2S
9:15:00,9.13,27,2B
9:15:00,9.1,27,2B
9:15:00,9.07,27,2B
9:15:00,9.04,27,2B
9:15:00,9.51,10,2S
9:15:00,10.12,20,2S
9:15:00,9.59,10,2S
9:15:00,9.42,10,2S
9:15:00,9.45,20,2S
9:15:00,9.48,30,2S
9:15:00,9.52,40,2S
9:15:00,9.55,40,2S
9:15:00,9.55,4,2S
9:15:00,9.25,20,2S
9:15:00,8.75,6,2B
9:15:00,8.36,6,2B
9:15:00,9.5,6,2S
9:15:00,9.9,6,2S
9:15:00,10.11,250,2S
9:15:00,10.11,500,2S
9:15:00,9.98,30,2S
9:15:00,9.38,20,2S
9:15:00,9.8,30,2S
9:15:00,9.01,20,2B
9:15:00,9.89,24,2S
9:15:00,9.66,20,2S
9:15:00,9.43,16,2S
9:15:00,9.1,2,2B
9:15:00,9.32,1,2S
9:15:00,8.72,5,2B
9:15:00,9.26,5,2S
9:15:00,9.3,8,2S
9:15:00,8.8,8,2B
9:15:00,9.3,6,2S
9:15:00,8.92,5,2B
9:15:00,8.8,6,2B
9:15:00,9.3,7,2S
9:15:00,8.8,7,2B
9:15:00,9.48,100,2S
9:15:00,9.58,100,2S
9:15:00,9.28,5,2S
9:15:00,8.91,2,2B
9:15:00,9.28,3,2S
9:15:00,8.91,3,2B
9:15:00,9.28,5,2S
9:15:00,8.91,2,2B
9:15:00,8.98,10,2B
9:15:00,9.31,5,2S
9:15:00,9.32,5,2S
9:15:00,10,3,2S
9:15:00,9.24,5,2S
9:15:00,9.25,5,2S
9:15:00,9.26,5,2S
9:15:00,9.27,5,2S
9:15:00,9.28,5,2S
9:15:00,9.29,5,2S
9:15:00,9.3,5,2S
9:15:00,9.1,5,2B
9:15:00,9.09,5,2B
9:15:00,9.08,5,2B
9:15:00,9.07,5,2B
9:15:00,9.8,20,2S
9:15:00,9.43,71,2S
9:15:00,9.26,17,2S
9:15:00,9.25,10,2S
9:15:00,10.12,61,2S
9:15:00,8.28,11,2B
9:15:00,9.2,3,2B
9:15:00,9.8,27,2S
9:15:00,9.89,20,2S
9:15:00,10.09,5,2S
9:15:00,9.49,50,2S
9:15:00,9.56,10,2S
9:15:00,9.34,17,2S
9:15:00,9.13,10,2B
9:15:00,10.11,3,2S
9:15:00,9.69,3,2S
9:15:00,9.69,100,2S
9:15:00,10.12,50,2S
9:15:00,10.12,100,2S
9:15:00,9.49,17,2S
9:15:00,9.98,10,2S
9:15:00,9,2000,2B
9:15:00,10.12,23.74,2S
9:15:00,9.27,24,2S
9:15:00,9.32,24,2S
9:15:00,9.37,24,2S
9:15:00,9.66,136,2S
9:15:00,9.93,1,2S
9:15:00,9.45,68,2S
9:15:00,8.98,36,2B
9:15:00,9.47,11,2S
9:15:00,9.49,60,2S
9:15:00,9.55,100,2S
9:15:00,10.11,3,2S
9:15:00,9.35,9,2S
9:15:00,9,20,2B
9:15:00,9.28,7,2S
9:15:00,9.38,10,2S
9:15:00,9.49,10,2S
9:15:00,9.59,10,2S
9:15:00,9.69,10,2S
9:15:00,9.74,13,2S
9:15:00,10,30,2S
9:15:00,9.43,20,2S
9:15:00,9.4,50,2S
9:15:00,9.11,7,2B
9:15:00,9.24,10,2S
9:15:00,9.29,3,2S
9:15:00,9.5,10,2S
9:15:00,9.69,22,2S
9:15:00,9.25,2,2S
9:15:00,9,5,2B
9:15:00,9,50,2B
9:15:00,9.34,10,2S
9:15:00,9.13,12,2B
9:15:00,9.08,10,2B
9:15:00,9.12,10,2B
9:15:00,9.33,15,2S
9:15:00,9.4,50,2S
9:15:00,9.6,50,2S
9:15:00,9.97,6,2S
9:15:00,9.39,1,2S
9:15:00,9.49,3,2S
9:15:00,9.36,10,2S
9:15:00,9.67,22,2S
9:15:00,9.24,14,2S
9:15:00,9.32,14,2S
9:15:00,9.12,14,2B
9:15:00,9.99,21,2S
9:15:00,10.1,2,2S
9:15:00,9.58,3,2S
9:15:00,9.31,10,2S
9:15:00,9.4,93,2S
9:15:00,8.98,17,2B
9:15:00,9.44,13,2S
9:15:00,9.5,13,2S
9:15:00,9.56,13,2S
9:15:00,9.24,3,2S
9:15:00,9.27,3,2S
9:15:00,9.33,3,2S
9:15:00,9.37,3,2S
9:15:00,9.47,3,2S
